Student_ID,Sem1,Sem2,Sem3
S1286,66,50,64
S1287,49,89,56
S1288,49,49,64
S1289,45,54,99
S1290,69,73,80
S1291,86,97,67
S1292,66,55,83
S1293,50,60,57
S1294,46,86,82
S1295,81,50,98
S1296,94,55,79
S1297,52,61,85
S1298,51,74,82
S1299,72,85,99
S1300,57,81,82
S1301,49,70,58
S1302,56,67,83
S1303,89,87,90
S1304,87,55,53
S1305,49,59,94
S1306,53,91,99
S1307,72,69,91
S1308,62,53,57
S1309,94,94,84
S1310,69,79,95
S1311,68,64,72
S1312,54,83,63
S1313,89,50,99
S1314,94,78,56
S1315,59,94,87
S1316,68,96,68
S1317,77,57,59
S1318,45,93,73
S1319,83,76,57
S1320,53,85,82
S1321,74,66,73
S1322,60,92,85
S1323,57,61,55
S1324,50,66,50
S1325,95,74,92
S1326,62,94,86
S1327,45,65,97
S1328,46,56,58
S1329,62,92,60
S1330,45,62,97
S1331,91,79,62
S1332,53,84,86
S1333,51,62,89
S1334,86,89,81
S1335,52,89,72
S1336,62,69,57
S1337,73,92,67
S1338,89,85,96
S1339,50,97,62
S1340,86,65,72
S1341,82,87,74
S1342,78,94,81
S1343,55,66,84
S1344,76,49,73
S1345,59,58,86
S1346,61,67,65
S1347,74,78,84
S1348,78,76,52
S1349,54,55,67
S1350,60,78,85
S1351,48,97,70
S1352,86,85,56
S1353,72,56,55
S1354,82,92,79
S1355,95,89,66
S1356,79,96,94
S1357,77,68,81
S1358,53,64,81
S1359,74,66,71
S1360,48,50,63
S1361,93,51,80
S1362,69,93,87
S1363,69,60,95
S1364,72,48,57
S1365,64,84,58
S1366,64,76,81
S1367,76,89,58
S1368,95,89,80
S1369,80,53,92
S1370,57,61,73
S1371,68,50,97
S1372,80,84,96
S1373,73,96,67
S1374,53,54,50
S1375,91,82,83
S1376,70,64,64
S1377,47,67,89
S1378,69,64,92
S1379,66,73,59
S1380,79,48,94
S1381,46,73,96
S1382,77,74,90
S1383,56,82,86
S1384,48,48,81
S1385,76,64,90
S1386,92,72,74
S1387,87,70,64
S1388,84,93,52
S1389,55,93,71
S1390,81,63,82
S1391,55,48,75
S1392,94,69,84
S1393,93,60,91
S1394,53,48,88
S1395,54,64,86
S1396,66,73,73
S1397,58,62,96
S1398,81,92,82
S1399,74,65,63
S1400,76,59,93
S1401,95,79,58
S1402,65,81,71
S1403,95,48,85
S1404,69,73,80
S1405,51,80,66
S1406,76,85,84
S1407,72,86,73
S1408,51,71,57
S1409,47,63,95
S1410,94,55,87
S1411,50,63,92
S1412,80,84,96
S1413,83,64,65
S1414,59,74,91
S1415,68,65,70
S1416,70,73,98
S1417,47,91,65
S1418,91,75,75
S1419,58,85,75
S1420,90,66,77
S1421,81,85,88
S1422,68,63,70
S1423,59,90,86
S1424,90,82,59
S1425,72,51,68
S1426,76,55,74
S1427,77,66,75
S1428,89,48,81
S1429,82,73,74
S1430,88,82,96
S1431,72,67,67
S1432,49,52,59
S1433,59,54,97
S1434,93,80,57
S1435,62,89,70
S1436,81,50,51
S1437,87,59,52
S1438,91,63,98
S1439,86,86,62
S1440,50,71,91
S1441,46,88,71
S1442,86,50,95
S1443,89,62,63
S1444,90,86,78
S1445,77,85,50
S1446,79,50,60
S1447,73,96,52
S1448,71,93,79
S1449,90,73,63
S1450,53,97,82
S1451,76,68,66
S1452,95,93,82
S1453,67,83,64
S1454,70,79,97
S1455,67,66,86
S1456,51,82,58
S1457,46,51,80
S1458,86,87,57
S1459,48,56,57
S1460,86,83,58
S1461,46,56,92
S1462,81,70,98
S1463,95,65,69
S1464,89,57,51
S1465,78,60,59
S1466,60,92,94
S1467,55,52,63
S1468,49,48,73
S1469,77,51,50
S1470,51,79,89
S1471,52,56,65
S1472,71,82,70
S1473,95,66,87
S1474,56,95,92
S1475,62,97,94
S1476,91,88,55
S1477,45,55,75
S1478,94,55,86
S1479,48,66,69
S1480,62,66,72
S1481,94,55,90
S1482,92,76,70
S1483,89,90,92
S1484,64,62,90
S1485,81,49,50
S1486,92,89,55
S1487,64,66,94
S1488,58,93,73
S1489,79,79,99
S1490,64,83,66
S1491,66,64,81
S1492,95,82,55
S1493,91,76,70
S1494,87,53,63
S1495,85,49,66
